Tree_representative	GenomeID	ContigID	ProteinID	gene_type	gene	start	end	strand	HMM_Annot_IDs	product_description	PlotLabel	fill	Cluster
WP_061485476.1	GCF_001578515.1	NZ_CP012202.1	WP_061485481.1	CDS	NA	1736309	1736986	+	PF05762;COG4245;TIGR03436	CoCoNut-II__II_TerY	CoCoNut-II__II_TerY	CoCoNut_II	4
WP_061485476.1	GCF_001578515.1	NZ_CP012202.1	WP_158511552.1	CDS	NA	1737032	1737679	+	PF13672	PP2C family serine/threonine-protein phosphatase	PF13672	NA	4
WP_061485476.1	GCF_001578515.1	NZ_CP012202.1	WP_061485485.1	CDS	NA	1737672	1739099	+	PF00069	CoCoNut-II__II_STK	CoCoNut-II__II_STK	CoCoNut_II	4
WP_061485476.1	GCF_001578515.1	NZ_CP012202.1	WP_061485487.1	CDS	NA	1739108	1742449	+	PF13086;PF13087	CoCoNut-II__II_CnuH	CoCoNut-II__II_CnuH	CoCoNut_II	4
WP_061485476.1	GCF_001578515.1	NZ_CP012202.1	WP_061485489.1	CDS	NA	1742439	1743893	+	NA	CoCoNut-II__II_CnuE	CoCoNut-II__II_CnuE	CoCoNut_II	4
WP_061485476.1	GCF_001578515.1	NZ_CP012202.1	WP_061485491.1	CDS	NA	1743897	1746260	+	PF07728	CoCoNut-II__II_CnuB	CoCoNut-II__II_CnuB	CoCoNut_II	4
WP_061485476.1	GCF_001578515.1	NZ_CP012202.1	WP_061485493.1	CDS	NA	1746263	1748050	+	NA	CoCoNut-II__II_CnuC	CoCoNut-II__II_CnuC	CoCoNut_II	4
WP_061485476.1	GCF_001578515.1	NZ_CP012202.1	WP_061485495.1	CDS	NA	1748294	1749043	-	NA	hypothetical protein	hypothetical protein	NA	4
WP_061485476.1	GCF_001578515.1	NZ_CP012202.1	WP_061485497.1	CDS	NA	1749360	1750232	-	NA	hypothetical protein	hypothetical protein	NA	4
WP_061485476.1	GCF_001578515.1	NZ_CP012202.1	WP_061485499.1	CDS	NA	1750297	1752510	-	PF00589	tyrosine-type recombinase/integrase	PF00589	integrase	4
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	PcP3B5_RS32085	CDS	NA	426013	426215	-	NA	integrase	integrase	integrase	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_082816244.1	CDS	NA	427081	429432	-	PF13032;PF13111	PprPIWI	PprPIWI	argonaute_type_III	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560457.1	CDS	NA	429429	432503	-	NA	PprDinG	PprDinG	argonaute_type_III	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560458.1	CDS	NA	432487	433527	-	PF18154;PF18156	PprRE	PprRE	argonaute_type_III	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_237143069.1	CDS	NA	434053	435513	+	PF00158	sigma-54 interaction domain-containing protein	PF00158	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560459.1	CDS	NA	435564	438944	+	PF00271;PF04313;PF04851;PF08463	REase_I	REase_I	RM_type_I	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_016253785.1	CDS	rmuC	438953	441082	+	PF02646;COG1322	DNA anti-recombination protein (rearrangement mutator) RmuC	rmuC	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_016253784.1	CDS	NA	441115	442698	+	PF02384;PF12161	MTase_I	MTase_I	RM_type_I	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560460.1	CDS	NA	442695	443756	+	PF01420	Specificity_I	Specificity_I	RM_type_I	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560461.1	CDS	NA	443771	445591	+	PF13175;PF20469	mad3	mad3	DMS_other	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560462.1	CDS	NA	445612	445944	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061563193.1	CDS	NA	445996	449331	+	NA	DruH3	DruH3	druantia_type_III	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560463.1	CDS	NA	449324	455662	+	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560464.1	CDS	NA	455811	457355	-	PF02661	PDC-S24	PDC-S24	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	PcP3B5_RS02040	tRNA	NA	457643	457719	-	NA	tRNA-Arg	tRNA	tRNA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_009615037.1	CDS	gabD	458328	459779	+	PF00171	NADP-dependent succinate-semialdehyde dehydrogenase	gabD	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_009615038.1	CDS	gabT	459976	461256	+	PF00202	4-aminobutyrate--2-oxoglutarate transaminase	gabT	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560465.1	CDS	NA	461480	462709	+	PF00072;PF08668	HDOD domain-containing protein	PF00072;PF08668	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560466.1	CDS	argH	463108	464502	-	PF00206;PF14698	argininosuccinate lyase	argH	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_009615041.1	CDS	NA	464734	465804	+	PF06580	sensor histidine kinase	PF06580	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_009615042.1	CDS	algR	465809	466555	+	PF04397	LytTr DNA-binding domain	algR	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560467.1	CDS	hemC	466784	467725	+	PF01379;PF03900	hydroxymethylbilane synthase	hemC	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560468.1	CDS	NA	467722	468486	+	PF02602;K13543;COG1587	Uroporphyrinogen-III synthase;Uroporphyrinogen-III synthase HemD	PF02602	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560469.1	CDS	NA	468509	469624	+	COG2959;PF04375;COG2959	Uncharacterized conserved protein HemX (no evidence of involvement in heme biosynthesis)	PF04375	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_009615047.1	CDS	NA	469621	470859	+	PF07219;K02498;COG3071;TIGR00540;PF07219;PF04733;K02498;TIGR00540;COG3071;PF07219;PF13429;K02498;TIGR00540;COG3071;PF07219;PF16918;K02498;TIGR00540;COG3071;PF07219;PF17177;K02498;COG3898;TIGR00540;PF07219;PF17177;K02498;TIGR00540;COG3071;PF07219;PF17874;K02498;TIGR00540;COG3071	heme biosynthesis-associated TPR protein;HemY protein N-terminus;Uncharacterized conserved protein HemY, contains two TPR repeats	PF07219	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_058072622.1	CDS	NA	470922	472022	-	PF07995	PQQ-dependent sugar dehydrogenase	PF07995	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_009615049.1	CDS	NA	472137	472619	+	PF02600;K03611;COG1495	Disulfide bond formation protein DsbB	PF02600	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_009615050.1	CDS	NA	472866	473333	+	PF04353;K07740;COG3160	Regulator of sigma D	PF04353	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560470.1	CDS	NA	473658	474890	+	NA	AlgP family protein	AlgP family protein	NA	2
WP_061560463.1	GCF_001586155.1	NZ_CP014158.1	WP_061560471.1	CDS	NA	474887	475360	-	PF09523	TIGR02444 family protein	PF09523	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_033801630.1	CDS	NA	297550	297765	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707808.1	CDS	NA	297762	298121	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_060614978.1	CDS	NA	298138	299169	+	PF03864	Phage major capsid protein E	PF03864	phage	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_033801633.1	CDS	NA	299302	299499	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707809.1	CDS	NA	299492	301033	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_148381775.1	CDS	NA	301076	301325	+	PF00665;PF01527	IS3 family transposase	PF00665;PF01527	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_148381775.1	CDS	NA	301325	302244	+	PF00665;PF01527	IS3 family transposase	PF00665;PF01527	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	FY482_RS07990	CDS	NA	302253	303358	-	NA	IS3-like element ISEcl10 family transposase	IS3-like element ISEcl10 family transposase	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	FY482_RS20260	CDS	NA	303635	303820	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707812.1	CDS	NA	303925	304407	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_073885155.1	CDS	NA	304426	304668	-	NA	hypothetical protein	hypothetical protein	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707813.1	CDS	NA	304940	306190	-	PF00589;PF20172	site-specific integrase	PF00589;PF20172	integrase	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707814.1	CDS	NA	306542	307801	+	PF00589;PF13356;PF22022	integrase arm-type DNA-binding domain-containing protein	PF00589;PF13356;PF22022	integrase	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	FY482_RS08020	CDS	NA	308224	309264	+	NA	IS481 family transposase	IS481 family transposase	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	FY482_RS08025	CDS	NA	309324	310097	+	NA	tyrosine-type recombinase/integrase	tyrosine-type recombinase/integrase	integrase	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707815.1	CDS	hsdR	310308	313820	+	PF00271;PF04313;PF04851;PF08463	REase_I	REase_I	RM_type_I	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707816.1	CDS	hsdM	313891	315477	+	PF02384;PF12161	MTase_I	MTase_I	RM_type_I	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_073885156.1	CDS	NA	315477	316796	+	NA	Specificity_I	Specificity_I	RM_type_I	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707817.1	CDS	NA	316868	323188	-	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707818.1	CDS	NA	323201	326488	-	NA	DruH3	DruH3	druantia_type_III	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_238379224.1	CDS	glgS	326928	327134	+	PF08971;K22720	Glycogen synthesis protein	glgS	plasmid	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707819.1	CDS	NA	327172	328044	-	PF13391	phosphorothioated DNA-binding restriction endonuclease	PF13391	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_148381798.1	CDS	NA	328217	329206	+	PF04471	PDC-S02	PDC-S02	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707821.1	CDS	NA	329470	329868	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707822.1	CDS	ompA	329904	330947	-	PF00691;PF01389	porin OmpA	ompA	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707823.1	CDS	NA	331061	331690	-	PF15977;PF00027;COG0664;TIGR03697;K21563;PF15977;TIGR02431;COG1414;PF15977;TIGR03697;COG0664;K21563	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases;global nitrogen regulator NtcA, cyanobacterial;Winged helix-turn-helix DNA binding	PF15977	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707824.1	CDS	NA	331753	332928	-	PF03349	OmpP1/FadL family transporter	PF03349	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	FY482_RS08090	CDS	NA	333200	333532	-	NA	mechanosensitive ion channel protein MscS	mechanosensitive ion channel protein MscS	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061708821.1	CDS	NA	333801	334214	+	PF00903;TIGR03645;COG3324;K08234	lactoylglutathione lyase family protein	PF00903	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707826.1	CDS	NA	334228	334752	-	PF00581;PF11127	rhodanese family protein	PF00581;PF11127	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707827.1	CDS	NA	334754	335053	-	PF01022	helix-turn-helix transcriptional regulator	PF01022	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_148381776.1	CDS	NA	335144	335359	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707828.1	CDS	NA	335561	336382	-	PF00561	alpha/beta fold hydrolase	PF00561	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707829.1	CDS	NA	336409	338025	-	K23448;COG2223;PF05977;K07785;TIGR00902;COG2223	Nitrate/nitrite transporter NarK;Transmembrane secretion effector	PF05977	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707830.1	CDS	NA	338022	338429	-	PF07681	DoxX family protein	PF07681	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707831.1	CDS	NA	338429	340300	-	PF07969	amidohydrolase	PF07969	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707832.1	CDS	NA	340524	341210	+	PF00857	hydrolase	PF00857	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707833.1	CDS	NA	341269	341475	+	PF07235	DUF1427 family protein	PF07235	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707834.1	CDS	NA	341472	341726	+	PF07235	XapX domain-containing protein	PF07235	NA	2
WP_061707817.1	GCF_902375915.1	NZ_CABKVX010000011.1	WP_061707835.1	CDS	NA	341751	342128	+	PF00072	response regulator transcription factor	PF00072	NA	2
WP_062362340.1	GCF_001576535.1	NZ_JYFV01000043.1	WP_062362340.1	CDS	NA	118	6339	-	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	6
WP_062362340.1	GCF_001576535.1	NZ_JYFV01000043.1	WP_153016745.1	CDS	NA	6336	9635	-	NA	DruH3	DruH3	druantia_type_III	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_128082419.1	CDS	NA	578	3886	+	NA	DruH3	DruH3	druantia_type_III	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_062374809.1	CDS	NA	3883	10095	+	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_354702737.1	CDS	NA	10715	11404	-	PF13701	transposase	PF13701	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	A3220_RS10760	CDS	NA	11747	13073	+	NA	MFS transporter	MFS transporter	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_054641533.1	CDS	NA	13090	13605	+	PF13975	TIGR02281 family clan AA aspartic protease	PF13975	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_044630479.1	CDS	NA	13676	13855	+	PF13396	PLDc N-terminal domain-containing protein	PF13396	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_162835828.1	CDS	NA	13939	14079	-	NA	hypothetical protein	hypothetical protein	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_062374811.1	CDS	NA	14309	15067	+	PF00072;PF00486	winged helix-turn-helix domain-containing protein	PF00072;PF00486	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_058577123.1	CDS	NA	15085	16707	+	PF00512;PF00672;PF02518	ATP-binding protein	PF00512;PF00672;PF02518	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_058577124.1	CDS	NA	16670	17608	-	PF00126;PF03466	LysR family transcriptional regulator	PF00126;PF03466	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_062374814.1	CDS	metE	17708	20005	+	PF01717;PF08267	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	metE	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_062374815.1	CDS	ppk1	20065	22266	-	PF02503;PF13089;PF13090;PF17941	polyphosphate kinase 1	ppk1	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_062361945.1	CDS	hemB	22389	23396	-	PF00490;COG0113;K01698	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	hemB	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_062361948.1	CDS	elbB	23554	24213	+	PF01965;COG3155;K05520;TIGR01382	Enhancing lycopene biosynthesis protein 2	elbB	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	A3220_RS10810	CDS	tatC	24292	25075	-	NA	twin-arginine translocase subunit TatC	tatC	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_062361956.1	CDS	tatB	25072	25491	-	PF02416	Sec-independent protein translocase protein TatB	tatB	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_044630489.1	CDS	tatA	25495	25767	-	PF02416	Sec-independent protein translocase subunit TatA	tatA	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_062374859.1	CDS	NA	25792	26145	-	PF01503	phosphoribosyl-ATP diphosphatase	PF01503	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_062374817.1	CDS	ubiB	26198	27820	-	PF03109	ubiquinone biosynthesis regulatory protein kinase UbiB	ubiB	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_044630491.1	CDS	NA	27817	28479	-	COG3165;K03690;K03690;COG3165;PF02036;COG3165;K03690;PF14864;COG3165;K03690;PF14864;K03690;COG3165	Ubiquinone biosynthesis protein UbiJ, contains SCP2 domain	PF02036	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_062361961.1	CDS	ubiE	28523	29278	-	PF06859;TIGR01934;COG4627;K24451	ubiquinone/menaquinone biosynthesis methyltransferases	ubiE	NA	6
WP_062374809.1	GCF_001596805.1	NZ_LVIA01000027.1	WP_054641528.1	CDS	NA	29400	29783	-	PF06155;COG3536;TIGR02409	Gamma-butyrobetaine hydroxylase-like, N-terminal;Uncharacterized conserved protein, DUF971 family	PF06155	NA	6
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	ASD54_RS03425	CDS	NA	714865	717200	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553152.1	CDS	NA	717439	717753	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553153.1	CDS	NA	718184	718960	-	PF01434;PF17862	ATP-dependent Zn protease	PF01434;PF17862	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553154.1	CDS	NA	718957	720936	-	PF00004	ATP-binding protein	PF00004	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553273.1	CDS	NA	720929	721486	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553155.1	CDS	NA	721604	722692	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553156.1	CDS	NA	723030	724226	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553157.1	CDS	NA	724565	725500	+	PF13391	HNH endonuclease	PF13391	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553158.1	CDS	NA	725525	728728	-	PF04313;PF11867;PF18766;PF22679	REase_I	REase_I	RM_type_I	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_156379034.1	CDS	NA	728725	728883	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553159.1	CDS	NA	728876	729883	-	PF14088	PDC-S11	PDC-S11	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_156379035.1	CDS	NA	729880	730578	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_156379036.1	CDS	NA	730725	732152	-	PF01420	Specificity_I	Specificity_I	RM_type_I	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553162.1	CDS	NA	732103	733662	-	PF02384;PF12161	MTase_I	MTase_I	RM_type_I	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553163.1	CDS	NA	733975	737214	+	NA	DruH3	DruH3	druantia_type_III	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553164.1	CDS	NA	737211	743234	+	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553165.1	CDS	NA	743521	744615	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553166.1	CDS	NA	744763	745173	-	PF20137	DUF6527 family protein	PF20137	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553167.1	CDS	NA	745170	746345	-	PF00899;PF20590	ThiF family adenylyltransferase	PF00899;PF20590	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553274.1	CDS	NA	746320	746595	-	PF14452	multiubiquitin domain-containing protein	PF14452	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553168.1	CDS	NA	746720	747064	+	NA	hypothetical protein	hypothetical protein	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553169.1	CDS	NA	747066	747626	+	PF06114	ImmA/IrrE family metallo-endopeptidase	PF06114	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553275.1	CDS	NA	748327	751416	-	PF00873	multidrug efflux RND transporter permease subunit	PF00873	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_244484639.1	CDS	NA	751427	752536	-	PF00529;PF13437;PF16576	efflux RND transporter periplasmic adaptor subunit	PF00529;PF13437;PF16576	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553277.1	CDS	NA	752748	753437	+	PF00072;PF00486	response regulator	PF00072;PF00486	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553170.1	CDS	NA	753434	754525	+	PF00512;PF00672;PF02518	ATP-binding protein	PF00512;PF00672;PF02518	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553171.1	CDS	NA	754722	755297	+	PF00583	GNAT family N-acetyltransferase	PF00583	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553172.1	CDS	NA	755400	756032	-	PF00589	tyrosine-type recombinase/integrase	PF00589	integrase	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553173.1	CDS	NA	756165	757022	-	PF12833	AraC family transcriptional regulator	PF12833	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_244484660.1	CDS	NA	757249	760659	+	PF00072;PF00512;PF02518;PF05227;PF13185	response regulator	PF00072;PF00512;PF02518;PF05227;PF13185	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_156379038.1	CDS	NA	760656	761489	+	PF01739;PF03705	CheR family methyltransferase	PF01739;PF03705	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553176.1	CDS	NA	761486	762052	+	PF01339	chemotaxis protein CheB	PF01339	NA	14
WP_062553164.1	GCF_001427345.1	NZ_LMGD01000001.1	WP_062553177.1	CDS	NA	762054	763196	+	PF00072;PF00512;PF02518	hybrid sensor histidine kinase/response regulator	PF00072;PF00512;PF02518	NA	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_162247273.1	CDS	NA	1	419	+	NA	hypothetical protein	hypothetical protein	NA	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062609695.1	CDS	NA	513	6641	-	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_210173829.1	CDS	NA	6638	10048	-	NA	DruH3	DruH3	druantia_type_III	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062609698.1	CDS	NA	10244	11932	-	PF13476	LmuB	LmuB	Lamassu_Family	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062609700.1	CDS	NA	11984	13042	-	PF14130	LmuA	LmuA	Lamassu_Family	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062609717.1	CDS	NA	13182	13406	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062609701.1	CDS	NA	13475	14116	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062609703.1	CDS	NA	14113	14805	-	PF13391	HNH endonuclease	PF13391	NA	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062609705.1	CDS	NA	15260	15733	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062609707.1	CDS	NA	15959	17800	-	PF00004;PF01434	AAA family ATPase	PF00004;PF01434	NA	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062609709.1	CDS	NA	17797	18105	-	NA	hypothetical protein	hypothetical protein	NA	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062609711.1	CDS	NA	18270	18575	+	PF01381	helix-turn-helix transcriptional regulator	PF01381	NA	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	ASG68_RS10390	tRNA	NA	19263	19336	-	NA	tRNA-Pro	tRNA	tRNA	14
WP_062609695.1	GCF_001425605.1	NZ_LMRG01000007.1	WP_062576344.1	CDS	NA	19614	20306	+	PF00565;COG1525	Endonuclease YncB, thermonuclease family	PF00565;COG1525	NA	14
